id,subconjunto,question_type,medical_task,body_system,chars,words,chars_full,words_full,tok_cl100k,tok_cl100k_full,tok_qwen,tok_qwen_full
MM-1969,MM,Understanding,Diagnosis,Respiratory,242,32,357,47,57,93,57,93
MM-1970,MM,Understanding,Basic Science,Skeletal,201,36,226,46,56,76,56,76
MM-1971,MM,Understanding,Diagnosis,Skeletal,352,53,460,67,79,110,79,110
MM-1972,MM,Understanding,Diagnosis,Lymphatic,153,24,221,36,43,70,43,70
MM-1973,MM,Reasoning,Diagnosis,Respiratory,1029,151,1127,166,240,275,250,285
MM-1974,MM,Reasoning,Treatment,Skeletal,652,95,1033,152,126,201,127,202
MM-1975,MM,Reasoning,Diagnosis,Cardiovascular,769,121,864,135,180,216,181,217
MM-1976,MM,Reasoning,Treatment,Skeletal,502,79,762,119,119,188,120,189
MM-1977,MM,Reasoning,Treatment,Cardiovascular,546,74,681,89,112,146,113,147
MM-1978,MM,Reasoning,Diagnosis,Digestive,1483,210,1642,233,399,442,419,462
MM-1979,MM,Understanding,Diagnosis,Cardiovascular,1030,168,1191,192,232,277,240,285
MM-1980,MM,Reasoning,Diagnosis,Respiratory,1006,145,1077,155,219,242,228,251
MM-1981,MM,Reasoning,Diagnosis,Cardiovascular,1001,140,1147,158,211,257,220,266
MM-1982,MM,Reasoning,Treatment,Cardiovascular,1157,162,1330,186,256,301,267,312
MM-1983,MM,Reasoning,Treatment,Skeletal,898,131,1262,185,222,330,223,331
MM-1984,MM,Reasoning,Treatment,Skeletal,482,74,741,115,111,176,111,176
MM-1985,MM,Reasoning,Treatment,Nervous,937,143,998,160,198,229,205,236
MM-1986,MM,Understanding,Basic Science,Nervous,414,75,439,85,102,122,103,123
MM-1987,MM,Understanding,Diagnosis,Nervous,194,26,314,42,55,98,55,98
MM-1988,MM,Reasoning,Basic Science,Cardiovascular,270,43,430,69,67,113,67,113
MM-1989,MM,Reasoning,Treatment,Skeletal,459,70,696,105,111,174,112,175
MM-1990,MM,Reasoning,Basic Science,Lymphatic,1190,175,1341,194,250,289,256,295
MM-1991,MM,Reasoning,Diagnosis,Cardiovascular,279,42,362,53,74,106,74,106
MM-1992,MM,Understanding,Diagnosis,Integumentary,698,105,805,120,170,206,178,214
MM-1993,MM,Reasoning,Treatment,Digestive,1818,273,1933,290,531,571,570,611
MM-1994,MM,Reasoning,Diagnosis,Cardiovascular,1049,160,1155,176,242,277,251,286
MM-1995,MM,Reasoning,Treatment,Nervous,1095,149,1177,160,249,285,260,296
MM-1996,MM,Reasoning,Diagnosis,Digestive,406,56,572,77,103,159,104,160
MM-1997,MM,Reasoning,Basic Science,Nervous,886,132,991,151,195,227,204,236
MM-1998,MM,Reasoning,Diagnosis,Reproductive,951,145,1108,170,220,266,227,273
MM-1999,MM,Reasoning,Diagnosis,Skeletal,381,59,505,76,97,138,98,139
Text-0,Text,Reasoning,Basic Science,Skeletal,1161,139,2167,260,293,563,312,601
Text-1,Text,Reasoning,Diagnosis,Muscular,1041,157,1295,192,264,353,269,358
Text-2,Text,Reasoning,Diagnosis,Respiratory,1414,227,2302,370,311,514,314,518
Text-3,Text,Reasoning,Treatment,Endocrine,1708,252,2091,304,394,502,400,509
Text-4,Text,Reasoning,Diagnosis,Cardiovascular,1453,222,2398,367,342,587,345,593
Text-5,Text,Reasoning,Treatment,Lymphatic,1213,181,1667,249,270,373,273,376
Text-6,Text,Understanding,Treatment,Nervous,262,54,352,84,92,152,102,172
Text-7,Text,Reasoning,Basic Science,Nervous,600,99,930,156,133,218,133,218
Text-8,Text,Reasoning,Diagnosis,Cardiovascular,1345,211,1930,299,308,435,320,449
Text-9,Text,Reasoning,Diagnosis,Reproductive,1389,217,1936,299,340,472,356,488
Text-10,Text,Reasoning,Treatment,Endocrine,1661,243,2025,295,382,481,396,495
Text-11,Text,Reasoning,Diagnosis,Respiratory,1131,163,1387,198,290,383,301,394
Text-12,Text,Reasoning,Diagnosis,Respiratory,974,143,1230,175,252,345,262,355
Text-13,Text,Understanding,Basic Science,Skeletal,448,58,777,101,120,221,120,221
Text-14,Text,Reasoning,Diagnosis,Endocrine,1432,197,1724,232,388,467,408,487
Text-15,Text,Reasoning,Basic Science,Skeletal,559,86,1016,158,138,260,138,260
Text-16,Text,Reasoning,Treatment,Respiratory,957,137,1179,171,212,285,214,287
Text-17,Text,Understanding,Basic Science,Other / NA,1073,158,1567,230,218,333,218,333
Text-18,Text,Reasoning,Diagnosis,Cardiovascular,868,127,1141,158,261,369,272,380
Text-19,Text,Understanding,Basic Science,Skeletal,671,107,1175,192,155,283,156,285
Text-20,Text,Reasoning,Diagnosis,Digestive,1481,204,1917,260,350,462,362,474
Text-21,Text,Reasoning,Diagnosis,Endocrine,1523,229,1797,263,445,533,470,558
Text-22,Text,Reasoning,Diagnosis,Cardiovascular,1288,188,1753,252,308,426,315,433
Text-23,Text,Reasoning,Treatment,Cardiovascular,1049,151,1401,199,241,329,250,338
Text-24,Text,Reasoning,Treatment,Lymphatic,1532,235,2432,386,403,662,406,665
Text-25,Text,Reasoning,Treatment,Respiratory,1200,192,1478,229,316,392,327,403
Text-26,Text,Reasoning,Basic Science,Reproductive,1164,175,1432,218,273,350,278,355
Text-27,Text,Reasoning,Diagnosis,Skeletal,297,41,509,71,94,175,94,175
Text-28,Text,Reasoning,Diagnosis,Cardiovascular,1639,230,2048,279,385,483,396,495
Text-29,Text,Reasoning,Basic Science,Other / NA,637,89,882,122,130,194,130,194
Text-30,Text,Reasoning,Diagnosis,Skeletal,1207,180,1815,268,249,378,252,381
Text-31,Text,Reasoning,Diagnosis,Nervous,918,131,1169,165,201,274,202,275
Text-32,Text,Reasoning,Diagnosis,Cardiovascular,1443,237,1706,275,380,457,393,470
Text-33,Text,Reasoning,Basic Science,Nervous,749,122,840,142,214,284,217,288
Text-34,Text,Reasoning,Diagnosis,Respiratory,1383,212,1848,279,361,498,371,508
Text-35,Text,Reasoning,Treatment,Other / NA,1175,189,1741,280,308,474,314,481
Text-36,Text,Reasoning,Treatment,Other / NA,1210,192,1916,306,250,407,255,416
Text-37,Text,Reasoning,Diagnosis,Respiratory,2345,385,2691,430,682,782,725,825
Text-38,Text,Understanding,Basic Science,Respiratory,1261,197,2390,377,282,531,282,531
Text-39,Text,Reasoning,Basic Science,Respiratory,969,162,1070,192,278,339,314,395
Text-40,Text,Reasoning,Basic Science,Other / NA,1621,225,2761,381,320,546,321,547
Text-41,Text,Reasoning,Treatment,Muscular,1033,151,1627,235,233,368,234,369
Text-42,Text,Understanding,Treatment,Reproductive,860,122,1071,152,183,254,184,255
Text-43,Text,Reasoning,Basic Science,Nervous,342,57,433,77,123,195,144,235
Text-44,Text,Reasoning,Diagnosis,Cardiovascular,1160,187,1645,273,298,442,307,458
Text-45,Text,Understanding,Basic Science,Nervous,851,123,1644,239,216,411,216,411
Text-46,Text,Reasoning,Treatment,Cardiovascular,1534,231,2065,308,348,476,355,483
Text-47,Text,Reasoning,Treatment,Nervous,1733,238,2575,344,387,585,394,592
Text-48,Text,Reasoning,Diagnosis,Nervous,953,137,1446,208,219,346,220,347
Text-49,Text,Reasoning,Diagnosis,Digestive,1041,146,1358,184,247,350,249,352
Text-50,Text,Reasoning,Basic Science,Integumentary,963,147,1195,181,222,299,224,301
Text-51,Text,Reasoning,Diagnosis,Nervous,1253,172,1810,245,278,395,280,397
Text-52,Text,Understanding,Basic Science,Skeletal,669,100,1175,179,152,275,154,279
Text-53,Text,Reasoning,Diagnosis,Nervous,1188,169,1528,216,286,386,295,395
Text-54,Text,Understanding,Treatment,Other / NA,838,113,1548,209,178,336,178,336
Text-55,Text,Reasoning,Treatment,Cardiovascular,679,93,826,113,196,268,203,275
Text-56,Text,Reasoning,Diagnosis,Digestive,1243,177,1482,210,274,347,284,358
Text-57,Text,Understanding,Treatment,Skeletal,1020,156,1875,292,205,384,205,384
Text-58,Text,Reasoning,Diagnosis,Urinary,1288,187,1675,244,274,374,275,375
Text-59,Text,Reasoning,Basic Science,Respiratory,522,70,880,118,136,237,136,237
Text-60,Text,Reasoning,Treatment,Lymphatic,803,119,945,139,214,289,218,293
Text-61,Text,Understanding,Basic Science,Muscular,363,54,567,87,100,169,100,169
Text-62,Text,Reasoning,Basic Science,Digestive,1070,147,1478,197,238,337,246,345
Text-63,Text,Reasoning,Diagnosis,Digestive,897,131,1140,164,199,277,201,279
Text-64,Text,Reasoning,Diagnosis,Skeletal,1007,160,1348,205,256,360,259,363
Text-65,Text,Reasoning,Diagnosis,Digestive,1001,146,1188,169,240,315,241,316
Text-66,Text,Reasoning,Basic Science,Skeletal,880,152,950,172,237,297,256,326
Text-67,Text,Reasoning,Diagnosis,Urinary,863,131,1211,182,211,303,220,313
Text-68,Text,Reasoning,Basic Science,Skeletal,1470,229,1666,259,360,426,369,435
Text-69,Text,Reasoning,Treatment,Cardiovascular,1358,208,1829,275,347,460,361,475
Text-70,Text,Reasoning,Basic Science,Nervous,983,167,1217,217,252,346,254,349
Text-71,Text,Reasoning,Treatment,Reproductive,1164,157,1335,180,283,355,297,369
Text-72,Text,Reasoning,Treatment,Respiratory,994,151,1450,220,247,376,252,384
Text-73,Text,Reasoning,Diagnosis,Nervous,964,134,1227,169,225,301,236,312
Text-74,Text,Reasoning,Treatment,Digestive,1132,158,1531,216,248,346,254,352
Text-75,Text,Reasoning,Basic Science,Nervous,462,61,740,99,104,181,104,181
Text-76,Text,Understanding,Basic Science,Other / NA,458,67,800,117,108,192,109,194
Text-77,Text,Understanding,Treatment,Skeletal,1098,163,2052,308,274,520,276,524
Text-78,Text,Reasoning,Diagnosis,Digestive,1081,158,1390,202,277,371,285,379
Text-79,Text,Reasoning,Treatment,Other / NA,1044,151,1837,266,222,397,223,398
Text-80,Text,Reasoning,Diagnosis,Skeletal,1132,169,1366,199,266,334,275,343
Text-81,Text,Understanding,Diagnosis,Muscular,1080,160,1387,208,248,339,250,341
Text-82,Text,Understanding,Treatment,Urinary,524,67,808,107,165,282,165,282
Text-83,Text,Reasoning,Diagnosis,Muscular,883,140,1006,170,220,302,221,303
Text-84,Text,Reasoning,Diagnosis,Skeletal,794,109,1122,157,189,290,190,291
Text-85,Text,Reasoning,Treatment,Respiratory,903,136,1050,156,241,310,252,321
Text-86,Text,Reasoning,Diagnosis,Endocrine,2003,319,2456,377,611,725,650,764
Text-87,Text,Reasoning,Basic Science,Skeletal,786,114,1035,151,188,272,189,273
Text-88,Text,Reasoning,Diagnosis,Other / NA,1214,182,1999,303,225,374,225,374
Text-89,Text,Reasoning,Treatment,Cardiovascular,1035,142,1404,191,255,360,270,375
Text-90,Text,Understanding,Basic Science,Digestive,1281,184,1531,218,292,365,301,374
Text-91,Text,Understanding,Basic Science,Lymphatic,1633,246,2639,400,334,531,341,538
Text-92,Text,Reasoning,Diagnosis,Respiratory,1356,190,1710,242,323,423,339,439
Text-93,Text,Reasoning,Diagnosis,Digestive,1197,170,1483,207,271,352,280,361
Text-94,Text,Understanding,Diagnosis,Cardiovascular,887,122,1296,176,197,302,199,304
Text-95,Text,Reasoning,Diagnosis,Skeletal,1422,226,1684,264,352,425,367,440
Text-96,Text,Reasoning,Diagnosis,Respiratory,1392,204,1649,240,341,436,348,443
Text-97,Text,Reasoning,Basic Science,Endocrine,764,104,922,124,178,249,179,250
Text-98,Text,Reasoning,Treatment,Cardiovascular,1356,215,1681,257,327,415,338,427
Text-99,Text,Reasoning,Diagnosis,Nervous,1073,146,1547,206,269,407,275,413
Text-100,Text,Reasoning,Diagnosis,Endocrine,1064,146,1372,184,258,349,268,359
Text-101,Text,Reasoning,Treatment,Cardiovascular,1384,209,1747,258,371,476,389,494
Text-102,Text,Reasoning,Treatment,Reproductive,1165,165,1445,201,246,320,248,322
Text-103,Text,Reasoning,Treatment,Muscular,1660,268,2441,398,352,525,353,526
Text-104,Text,Reasoning,Diagnosis,Skeletal,1178,165,1561,211,264,368,266,370
Text-105,Text,Understanding,Basic Science,Lymphatic,493,73,679,105,127,193,128,194
Text-106,Text,Reasoning,Diagnosis,Urinary,1122,177,1413,222,364,443,382,461
Text-107,Text,Reasoning,Diagnosis,Cardiovascular,1274,178,1575,221,293,383,301,391
Text-108,Text,Understanding,Treatment,Nervous,524,69,669,89,141,212,142,213
Text-109,Text,Reasoning,Diagnosis,Urinary,1005,141,1596,215,253,370,261,378
Text-110,Text,Reasoning,Treatment,Reproductive,1199,172,1800,259,340,568,342,570
Text-111,Text,Reasoning,Basic Science,Skeletal,1223,197,1759,293,266,390,267,391
Text-112,Text,Reasoning,Diagnosis,Nervous,1692,271,2833,454,417,703,436,740
Text-113,Text,Understanding,Basic Science,Nervous,673,100,1100,165,155,262,157,264
Text-114,Text,Reasoning,Treatment,Endocrine,1173,169,1428,201,272,346,281,355
Text-115,Text,Reasoning,Basic Science,Nervous,493,84,554,104,136,194,143,203
Text-116,Text,Understanding,Basic Science,Skeletal,1082,141,2007,260,238,448,248,468
Text-117,Text,Reasoning,Treatment,Reproductive,1146,165,1448,203,277,377,287,387
Text-118,Text,Understanding,Basic Science,Skeletal,1289,185,2404,350,265,494,265,494
Text-119,Text,Reasoning,Treatment,Reproductive,898,138,1318,195,219,332,220,333
Text-120,Text,Reasoning,Diagnosis,Reproductive,746,112,1253,186,185,311,188,315
Text-121,Text,Reasoning,Treatment,Respiratory,1273,183,1689,234,348,461,366,479
Text-122,Text,Reasoning,Diagnosis,Nervous,1243,181,1712,250,253,364,254,365
Text-123,Text,Understanding,Treatment,Digestive,621,75,1029,123,231,410,232,411
Text-124,Text,Reasoning,Diagnosis,Respiratory,909,131,1216,171,217,306,220,309
Text-125,Text,Understanding,Basic Science,Other / NA,358,48,508,68,106,175,106,175
Text-126,Text,Reasoning,Diagnosis,Digestive,929,134,1136,159,242,324,250,332
Text-127,Text,Reasoning,Diagnosis,Endocrine,1178,184,1455,229,286,367,297,378
Text-128,Text,Reasoning,Diagnosis,Cardiovascular,1100,154,1357,188,272,344,287,359
Text-129,Text,Reasoning,Treatment,Other / NA,1250,203,1878,308,255,386,257,389
Text-130,Text,Reasoning,Basic Science,Skeletal,638,92,1083,160,139,240,139,240
Text-131,Text,Understanding,Basic Science,Urinary,493,72,782,112,120,202,121,203
Text-132,Text,Reasoning,Diagnosis,Cardiovascular,1026,159,1290,195,260,338,269,347
Text-133,Text,Reasoning,Basic Science,Cardiovascular,481,86,551,106,152,202,169,229
Text-134,Text,Understanding,Basic Science,Nervous,703,102,849,122,155,215,156,216
Text-135,Text,Understanding,Basic Science,Integumentary,474,71,775,121,125,217,125,217
Text-136,Text,Understanding,Treatment,Nervous,383,56,532,77,105,169,105,169
Text-137,Text,Reasoning,Treatment,Reproductive,1022,149,1310,189,243,319,252,328
Text-138,Text,Reasoning,Treatment,Nervous,867,119,1015,140,190,259,191,260
Text-139,Text,Reasoning,Treatment,Nervous,970,149,1277,196,228,309,239,320
Text-140,Text,Reasoning,Treatment,Urinary,1053,152,1477,209,291,418,302,430
Text-141,Text,Understanding,Diagnosis,Skeletal,1063,151,1239,176,232,297,238,303
Text-142,Text,Reasoning,Treatment,Digestive,1328,187,1652,230,310,406,320,416
Text-143,Text,Reasoning,Treatment,Endocrine,928,141,1068,163,249,309,258,318
Text-144,Text,Reasoning,Diagnosis,Skeletal,788,110,994,133,205,283,210,288
Text-145,Text,Reasoning,Basic Science,Nervous,1200,172,1536,218,275,368,284,377
Text-146,Text,Reasoning,Treatment,Respiratory,1561,220,2282,324,388,611,396,619
Text-147,Text,Reasoning,Diagnosis,Endocrine,1111,159,1596,218,255,371,258,374
Text-148,Text,Reasoning,Basic Science,Cardiovascular,834,130,1072,175,191,265,192,266
Text-149,Text,Reasoning,Diagnosis,Reproductive,979,144,1332,195,214,304,218,308
Text-150,Text,Understanding,Basic Science,Nervous,1326,273,2120,463,415,720,418,726
Text-151,Text,Reasoning,Diagnosis,Endocrine,1535,232,1937,281,401,503,428,530
Text-152,Text,Understanding,Diagnosis,Digestive,957,137,1184,164,265,363,276,376
Text-153,Text,Reasoning,Treatment,Respiratory,1833,242,2535,332,427,602,431,605
Text-154,Text,Understanding,Diagnosis,Nervous,1067,169,1202,194,252,314,260,323
Text-155,Text,Reasoning,Diagnosis,Nervous,571,72,973,123,101,178,101,178
Text-156,Text,Reasoning,Diagnosis,Nervous,1452,220,1835,266,295,382,297,384
Text-157,Text,Reasoning,Treatment,Respiratory,825,114,1120,150,206,302,211,307
Text-158,Text,Understanding,Basic Science,Urinary,390,54,617,86,99,171,99,171
Text-159,Text,Reasoning,Basic Science,Skeletal,628,97,835,132,162,241,165,244
Text-160,Text,Understanding,Basic Science,Endocrine,772,93,1018,119,198,295,200,297
Text-161,Text,Reasoning,Treatment,Cardiovascular,1726,291,2171,353,471,592,498,620
Text-162,Text,Reasoning,Diagnosis,Digestive,926,126,1233,166,224,308,225,309
Text-163,Text,Reasoning,Treatment,Skeletal,898,124,1220,169,200,287,202,289
Text-164,Text,Reasoning,Diagnosis,Reproductive,1133,162,1464,209,257,349,265,357
Text-165,Text,Reasoning,Basic Science,Skeletal,712,98,1205,168,161,286,161,286
Text-166,Text,Understanding,Treatment,Skeletal,1227,182,1880,284,250,391,252,393
Text-167,Text,Reasoning,Treatment,Nervous,1351,184,1839,244,311,444,321,454
Text-168,Text,Reasoning,Diagnosis,Respiratory,1196,170,1633,233,289,406,299,416
Text-169,Text,Reasoning,Basic Science,Nervous,744,113,928,144,182,253,184,255
Text-170,Text,Reasoning,Treatment,Muscular,1510,238,2301,364,312,477,313,478
Text-171,Text,Reasoning,Treatment,Skeletal,1243,206,1878,323,278,437,280,439
Text-172,Text,Understanding,Basic Science,Digestive,845,110,1223,156,185,288,187,290
Text-173,Text,Reasoning,Diagnosis,Nervous,825,120,1080,157,191,274,194,277
Text-174,Text,Reasoning,Treatment,Muscular,1248,196,1803,286,271,404,273,406
Text-175,Text,Reasoning,Basic Science,Digestive,542,74,702,98,127,190,128,191
Text-176,Text,Understanding,Treatment,Muscular,829,128,1345,210,205,345,207,347
Text-177,Text,Reasoning,Treatment,Respiratory,1160,175,1543,227,289,398,300,409
Text-178,Text,Reasoning,Treatment,Skeletal,1054,162,1256,197,256,328,262,334
Text-179,Text,Reasoning,Diagnosis,Cardiovascular,1118,167,1419,206,317,405,341,429
Text-180,Text,Reasoning,Diagnosis,Nervous,604,106,734,136,155,215,167,237
Text-181,Text,Reasoning,Treatment,Respiratory,1634,248,2174,310,455,610,480,635
Text-182,Text,Reasoning,Treatment,Digestive,1027,160,1286,197,292,361,307,376
Text-183,Text,Reasoning,Diagnosis,Respiratory,1431,212,1762,256,320,407,327,413
Text-184,Text,Reasoning,Treatment,Reproductive,1156,165,1500,213,252,334,258,340
Text-185,Text,Reasoning,Basic Science,Cardiovascular,766,112,993,143,192,269,199,276
Text-186,Text,Understanding,Treatment,Digestive,948,150,1391,227,213,337,223,355
Text-187,Text,Reasoning,Diagnosis,Reproductive,1312,196,1608,233,334,416,353,435
Text-188,Text,Reasoning,Diagnosis,Lymphatic,1194,177,1559,222,307,411,326,432
Text-189,Text,Reasoning,Treatment,Muscular,1207,182,1757,267,245,363,246,364
Text-190,Text,Reasoning,Treatment,Digestive,914,131,1137,164,233,309,242,318
Text-191,Text,Reasoning,Treatment,Reproductive,1673,239,2444,342,396,589,411,607
Text-192,Text,Reasoning,Diagnosis,Urinary,1421,253,1929,328,413,558,429,574
Text-193,Text,Reasoning,Diagnosis,Lymphatic,1500,225,2253,339,273,415,274,416
Text-194,Text,Reasoning,Basic Science,Cardiovascular,646,87,786,107,154,218,155,219
Text-195,Text,Reasoning,Diagnosis,Urinary,1561,247,2629,420,371,617,382,629
Text-196,Text,Reasoning,Diagnosis,Endocrine,934,145,1170,179,215,287,222,294
Text-197,Text,Understanding,Treatment,Other / NA,695,123,1261,228,217,413,217,413
Text-198,Text,Understanding,Diagnosis,Integumentary,392,53,610,85,83,141,83,141
Text-199,Text,Reasoning,Diagnosis,Reproductive,1305,210,1857,295,311,454,322,468
Text-200,Text,Reasoning,Diagnosis,Skeletal,900,135,1344,205,233,379,239,389
Text-201,Text,Reasoning,Diagnosis,Digestive,1194,173,1470,212,303,394,321,412
Text-202,Text,Reasoning,Diagnosis,Urinary,1028,152,1235,177,268,353,276,361
Text-203,Text,Understanding,Basic Science,Cardiovascular,317,48,517,77,106,186,113,199
Text-204,Text,Reasoning,Treatment,Other / NA,1268,194,1936,294,233,364,233,364
Text-205,Text,Reasoning,Treatment,Nervous,628,94,968,138,159,256,160,257
Text-206,Text,Reasoning,Treatment,Digestive,984,151,1344,206,235,330,245,340
Text-207,Text,Reasoning,Treatment,Other / NA,952,153,1297,198,211,284,212,285
Text-208,Text,Reasoning,Treatment,Respiratory,1260,176,1870,256,319,500,322,501
Text-209,Text,Reasoning,Basic Science,Skeletal,1197,174,2021,298,231,393,232,394
Text-210,Text,Reasoning,Diagnosis,Reproductive,1061,138,1461,188,236,338,240,342
Text-211,Text,Reasoning,Diagnosis,Digestive,1883,303,2389,372,560,695,595,730
Text-212,Text,Understanding,Basic Science,Muscular,490,76,840,132,108,191,108,191
Text-213,Text,Reasoning,Treatment,Reproductive,1501,223,1894,275,350,449,366,465
Text-214,Text,Reasoning,Diagnosis,Digestive,1419,186,2046,270,341,499,349,507
Text-215,Text,Understanding,Basic Science,Nervous,759,118,911,151,185,254,186,255
Text-216,Text,Understanding,Diagnosis,Digestive,672,94,909,124,178,267,179,268
Text-217,Text,Reasoning,Diagnosis,Skeletal,1014,168,1398,232,228,331,229,332
Text-218,Text,Reasoning,Diagnosis,Respiratory,996,184,1222,216,324,380,329,385
Text-219,Text,Reasoning,Treatment,Reproductive,1250,189,1663,257,306,437,325,465
Text-220,Text,Reasoning,Diagnosis,Respiratory,875,140,1093,177,213,286,216,289
Text-221,Text,Reasoning,Diagnosis,Reproductive,1355,195,1853,265,309,432,318,441
Text-222,Text,Reasoning,Diagnosis,Nervous,1078,148,1390,189,212,286,213,287
Text-223,Text,Reasoning,Treatment,Digestive,1105,155,1263,175,279,354,288,363
Text-224,Text,Reasoning,Treatment,Muscular,1005,151,1533,231,213,337,214,338
Text-225,Text,Understanding,Basic Science,Other / NA,1370,203,2396,358,289,507,290,508
Text-226,Text,Reasoning,Diagnosis,Skeletal,1540,258,1866,311,400,491,422,514
Text-227,Text,Reasoning,Treatment,Endocrine,1913,287,2380,352,593,700,638,745
Text-228,Text,Reasoning,Treatment,Lymphatic,1364,188,1790,241,306,413,315,422
Text-229,Text,Understanding,Basic Science,Nervous,1256,185,2036,307,332,560,332,560
Text-230,Text,Understanding,Basic Science,Digestive,1112,151,1566,213,231,335,232,336
Text-231,Text,Understanding,Basic Science,Lymphatic,829,117,1120,153,173,246,173,246
Text-232,Text,Reasoning,Diagnosis,Reproductive,1059,136,1328,166,268,377,269,378
Text-233,Text,Reasoning,Diagnosis,Urinary,840,108,1317,170,172,282,173,283
Text-234,Text,Reasoning,Diagnosis,Respiratory,1723,279,2280,359,391,518,402,529
Text-235,Text,Reasoning,Basic Science,Skeletal,491,76,828,134,118,210,118,210
Text-236,Text,Reasoning,Treatment,Muscular,1163,171,1639,241,272,405,273,406
Text-237,Text,Reasoning,Treatment,Reproductive,1339,210,1932,298,297,441,300,445
Text-238,Text,Reasoning,Diagnosis,Respiratory,1418,216,1804,267,319,423,322,426
Text-239,Text,Reasoning,Basic Science,Nervous,1195,193,1783,296,259,409,260,410
Text-240,Text,Understanding,Basic Science,Digestive,1061,145,1572,204,272,422,281,431
Text-241,Text,Reasoning,Diagnosis,Cardiovascular,873,119,1169,157,212,305,213,306
Text-242,Text,Understanding,Basic Science,Other / NA,431,62,561,82,164,262,164,262
Text-243,Text,Reasoning,Diagnosis,Endocrine,1108,150,1443,199,248,331,252,335
Text-244,Text,Reasoning,Diagnosis,Digestive,1507,243,1761,274,502,604,534,636
Text-245,Text,Reasoning,Diagnosis,Reproductive,1189,177,1456,210,260,327,269,336
Text-246,Text,Reasoning,Diagnosis,Nervous,853,113,1139,149,188,270,189,271
Text-247,Text,Understanding,Basic Science,Lymphatic,827,116,980,136,214,284,220,290
Text-248,Text,Reasoning,Treatment,Nervous,1090,156,1233,176,249,315,252,318
Text-249,Text,Reasoning,Diagnosis,Nervous,1134,173,1669,252,226,335,229,338
Text-250,Text,Reasoning,Diagnosis,Digestive,954,145,1185,175,236,309,244,317
Text-251,Text,Understanding,Basic Science,Cardiovascular,606,90,792,119,153,219,154,220
Text-252,Text,Reasoning,Basic Science,Cardiovascular,1613,225,2238,312,371,523,374,526
Text-253,Text,Reasoning,Diagnosis,Other / NA,530,73,764,102,154,245,155,246
Text-254,Text,Reasoning,Basic Science,Muscular,880,125,1042,148,188,242,189,243
Text-255,Text,Reasoning,Diagnosis,Digestive,1120,168,1344,199,270,343,276,349
Text-256,Text,Reasoning,Treatment,Nervous,898,132,1042,152,203,270,204,271
Text-257,Text,Reasoning,Diagnosis,Nervous,1003,147,1299,191,243,329,249,335
Text-258,Text,Understanding,Basic Science,Other / NA,411,53,656,86,99,175,99,175
Text-259,Text,Reasoning,Diagnosis,Endocrine,1585,240,2169,332,340,474,342,476
Text-260,Text,Reasoning,Diagnosis,Nervous,1459,220,1810,280,349,445,361,458
Text-261,Text,Understanding,Diagnosis,Lymphatic,1421,213,2087,307,308,465,309,466
Text-262,Text,Reasoning,Treatment,Skeletal,1080,154,1714,245,223,351,225,353
Text-263,Text,Reasoning,Basic Science,Digestive,864,121,1253,179,202,314,206,319
Text-264,Text,Reasoning,Treatment,Muscular,1205,176,1812,269,241,376,242,377
Text-265,Text,Understanding,Diagnosis,Nervous,793,120,989,146,172,235,172,235
Text-266,Text,Understanding,Basic Science,Nervous,447,96,751,173,171,317,171,317
Text-267,Text,Understanding,Treatment,Muscular,1054,167,1842,295,232,413,232,413
Text-268,Text,Reasoning,Diagnosis,Skeletal,1174,171,1413,203,257,329,268,340
Text-269,Text,Understanding,Diagnosis,Reproductive,1207,168,1410,193,287,360,292,367
Text-270,Text,Reasoning,Treatment,Other / NA,995,150,1266,189,234,312,237,315
Text-271,Text,Understanding,Diagnosis,Skeletal,358,54,567,86,85,145,85,145
Text-272,Text,Reasoning,Diagnosis,Digestive,1210,195,1554,242,330,430,339,439
Text-273,Text,Reasoning,Diagnosis,Cardiovascular,1418,222,1731,270,341,427,356,443
Text-274,Text,Reasoning,Treatment,Respiratory,1010,138,1448,194,230,338,237,345
Text-275,Text,Reasoning,Diagnosis,Endocrine,1417,226,1677,265,401,473,420,492
Text-276,Text,Reasoning,Diagnosis,Cardiovascular,1160,160,1514,211,263,348,271,356
Text-277,Text,Understanding,Basic Science,Skeletal,424,71,487,91,117,167,121,174
Text-278,Text,Understanding,Basic Science,Skeletal,217,34,307,54,97,167,107,187
Text-279,Text,Reasoning,Treatment,Skeletal,862,131,1516,232,192,344,192,344
Text-280,Text,Reasoning,Treatment,Integumentary,1247,197,2010,318,241,393,241,393
Text-281,Text,Reasoning,Diagnosis,Cardiovascular,1596,224,2046,283,342,437,356,451
Text-282,Text,Reasoning,Diagnosis,Muscular,1279,199,1866,285,280,416,281,417
Text-283,Text,Reasoning,Diagnosis,Muscular,873,129,1202,179,206,302,209,306
Text-284,Text,Reasoning,Diagnosis,Urinary,1260,170,1843,243,312,463,317,468
Text-285,Text,Reasoning,Diagnosis,Respiratory,1827,278,2671,418,507,817,536,870
Text-286,Text,Reasoning,Diagnosis,Skeletal,1592,253,1901,292,379,458,389,468
Text-287,Text,Reasoning,Diagnosis,Reproductive,924,142,1122,177,225,296,234,305
Text-288,Text,Reasoning,Diagnosis,Urinary,1354,198,1737,254,344,451,356,464
Text-289,Text,Reasoning,Diagnosis,Cardiovascular,1326,201,1826,275,325,444,334,453
